Key	NA	CA	DA6	DA12	DA24
AT1G01050.1	-0.136863	-0.233078	-0.168935	-0.160917	-0.160917
AT1G01090.1	-0.970214	-1.057606	-0.627762	0.13894	1.056277
AT1G01100.1	-1.141121	-1.710297	-1.330846	-1.283415	-1.283415
AT1G01320.1	0.075818	-0.620057	-0.486587	-0.193764	0.193251
AT1G01800.1	0.330002	2.262122	2.664861	2.540529	2.461257
AT1G02500.1	-0.294256	-0.143105	0.008068	0.083657	0.159254
AT1G02560.1	-0.558534	-0.346057	-0.08694	-0.108216	-0.165804
AT1G02620.1	-0.464939	-0.275891	-0.509451	-0.626331	-0.298609
AT1G02730.1	-0.116035	-0.116035	-0.234884	-0.328723	0.123155
AT1G02780.1	-0.327775	-0.269608	-0.095108	-0.034604	0.471499
AT1G02790.1	-0.190366	-0.270798	-0.222539	-0.167901	0.113332
AT1G02920.1	-0.537119	-0.11907	0.027496	-0.08811	-0.117951
AT1G02930.1	-0.443255	-0.29579	0.146605	0.092902	0.340517
AT1G03020.1	-0.563007	-0.751691	-0.590718	-0.462628	-0.173475
AT1G03130.1	-0.710519	-0.396924	-0.346575	-0.178547	0.192989
AT1G03220.1	0.14268	-0.963622	-0.68725	-0.654181	-0.462041
AT1G03475.1	-0.429315	0.106938	0.47853	0.697626	2.123536
AT1G03600.1	-0.203156	-0.445691	-0.203101	-0.009748	0.228984
AT1G03680.1	0.210477	-0.186893	0.070665	0.149221	0.089227
AT1G04300.1	0.063743	-0.272965	-0.591763	-0.402679	0.228425
AT1G04410.1	-0.301589	-0.404302	-0.633703	-0.32399	0.254871
AT1G04420.1	-0.098205	-0.266443	-0.180535	-0.002866	0.250297
AT1G04480.1	-2.733635	-2.904921	-2.870148	-2.796404	-2.684362
AT1G04620.1	-0.812316	-0.775625	-0.588405	-0.469542	-0.350276
AT1G04690.1	-0.266974	-0.65233	-0.6271	-0.392299	-0.037421
AT1G04820.1	-0.022825	-0.406613	-0.138554	-0.006754	0.39778
AT1G04920.1	-0.154668	-0.529372	-0.30455	-0.21835	0.250117
AT1G05010.1	0.347514	-0.377118	-0.073697	0.172866	0.517483
AT1G05190.1	-0.027875	-0.067016	0.057762	0.184378	0.036352
AT1G05490.1	-0.888134	-1.098322	-1.179205	-1.216319	-0.722496
AT1G06500.1	-0.549295	-0.912134	-0.564423	-0.331608	-0.138809
AT1G06530.1	-0.381406	-0.290565	-0.118875	-0.102848	0.169187
AT1G06670.1	-0.328091	-0.083835	0.093779	-0.076977	-0.121897
AT1G06680.1	-0.218318	-0.285093	-0.149243	0.043135	0.269366
AT1G06690.1	0.107869	-0.147257	0.014633	0.031797	0.074815
AT1G06820.1	0.02901	-0.368232	-0.026534	0.175398	0.423798
AT1G06950.1	1.161927	0.978592	0.529011	0.456026	0.806859
AT1G07140.1	-0.159812	-0.382452	-0.460238	-0.473652	0.117779
AT1G07180.1	-0.87343	-1.181136	-1.274635	-1.282102	-1.359382
AT1G07320.1	-0.343471	-0.261287	-0.014737	0.004787	0.390049
AT1G07660.1	-0.106332	-0.160876	-0.123206	-0.117027	-0.118988
AT1G07660.2	-0.537521	0.080986	0.192827	0.083174	0.22424
AT1G07770.1	0.13759	-0.391032	-0.34099	-0.132055	-0.08448
AT1G07790.1	-0.106458	-0.267352	-0.170815	-0.104539	0.242932
AT1G07890.1	-0.063133	-0.497229	-0.148532	0.074934	0.551816
AT1G07920.1	-0.157309	-0.365763	-0.34883	-0.327707	-0.214761
AT1G08200.1	-0.33221	-0.262129	-0.051885	-0.05143	0.196129
AT1G08360.1	0.642111	0.010289	0.15351	0.032517	-0.235466
AT1G08520.1	-0.04652	-0.348699	-0.298565	-0.204751	-0.095355
AT1G08600.1	-0.158926	-0.252474	-0.265838	-0.248361	-0.034021
AT1G08990.1	0.158158	-0.083472	0.061506	0.075186	0.167748
AT1G09100.1	-0.560501	-0.037764	-0.248696	-0.192294	0.24946
AT1G09130.1	-0.252088	-0.356062	-0.20293	-0.014732	0.233359
AT1G09200.1	-0.136198	-0.136198	-0.136198	-0.117055	-0.021341
AT1G09210.1	-0.2348	-0.346754	-0.18628	0.004238	0.244936
AT1G09280.1	2.260921	1.658676	2.146313	2.776867	3.5839
AT1G09310.1	-0.087101	-0.406318	-0.20132	-0.137188	0.111021
AT1G09340.1	-0.908	-0.869446	-0.665108	-0.522553	-0.362059
AT1G09590.1	-0.418794	-0.389159	-0.237493	-0.140018	-0.035323
AT1G09610.1	-0.511874	-0.347402	-0.019235	0.03468	0.673344
AT1G09620.1	-0.246488	-0.192587	-0.030882	0.006905	0.384496
AT1G09640.1	0.00537	-0.416225	-0.225787	-0.160381	0.200991
AT1G09750.1	-1.213594	0.003998	-0.244075	-0.451089	-0.745307
AT1G09780.1	-0.077031	-0.138827	-0.147656	-0.111963	0.150367
AT1G10370.1	-0.26037	-0.236151	-0.107563	-0.018452	0.078413
AT1G10630.1	-0.353438	-0.225345	-0.058912	-0.026314	0.312693
AT1G10670.1	-0.174745	-0.131029	0.000119	0.004371	0.178638
AT1G10760.1	-0.369662	-0.219844	-0.223523	-0.149733	0.177161
AT1G10840.1	-0.15499	-0.315792	-0.338764	-0.322065	-0.020337
AT1G11655.1	-0.145127	-0.393703	-0.429214	-0.431655	-0.106507
AT1G11750.1	-0.193417	-0.338691	-0.367745	-0.287469	0.11391
AT1G11840.1	-0.262233	-0.262233	-0.262233	-0.262233	-0.262233
AT1G11860.1	-0.209385	-0.43021	-0.282993	-0.264591	-0.264591
AT1G11910.1	-0.013481	-0.013574	-0.014159	-0.014642	-0.015002
AT1G12000.1	-0.21232	-0.217803	-0.219959	-0.219614	-0.219217
AT1G12230.1	-0.310404	-0.264347	-0.126177	-0.087716	0.265788
AT1G12310.1	-0.189592	-0.257639	-0.21681	-0.155104	0.160235
AT1G12350.1	-0.531982	-0.24602	0.145011	0.197865	0.503862
AT1G12410.1	-0.137337	-0.413714	-0.247887	-0.182091	0.174527
AT1G12450.1	-0.469723	-0.624807	-0.449527	-0.291362	-0.122306
AT1G12840.1	-0.192248	-0.136486	0.0308	0.044139	0.306002
AT1G12900.1	-0.29679	-0.066071	-0.102127	-0.020152	0.286972
AT1G13040.1	0.06915	-0.168971	-0.216595	-0.117881	0.375689
AT1G13350.1	-0.362827	-0.328598	-0.225911	-0.21022	-0.011966
AT1G13440.1	-0.123588	-0.086652	0.024156	0.030551	0.191801
AT1G13610.1	0.00138	-0.070297	0.020274	0.11748	0.242046
AT1G13650.1	-0.233106	-0.311038	-0.198612	-0.06406	0.107583
AT1G13930.1	-0.234402	-0.533912	-0.444858	-0.078159	0.516561
AT1G14320.1	-0.485655	-0.485655	-0.485655	-0.466887	-0.373045
AT1G14520.1	-0.17375	-0.254936	-0.143965	-0.01531	0.15357
AT1G14810.1	-0.726327	-0.602399	-0.478458	-0.416473	-0.354483
AT1G14980.1	-0.940816	-0.338989	-0.033631	-0.083183	-0.0997
AT1G15140.1	0.057649	-0.335716	0.01597	0.126351	-0.178829
AT1G15340.1	-0.326106	-0.261485	-0.196851	-0.16453	-0.132205
AT1G15480.1	-0.290499	-0.265694	-0.191278	-0.191393	-0.105146
AT1G15690.1	0.275422	-0.142841	-0.165902	0.499231	1.128734
AT1G15820.1	-0.297306	-0.677633	-0.318177	-0.154103	-0.31296
AT1G15930.1	-0.113959	-0.26231	-0.173299	-0.117224	0.177986
AT1G16080.1	-0.413369	-0.532783	-0.447023	-0.429384	-0.438609
AT1G16160.1	-0.045355	-0.467625	-0.214174	-0.169212	0.09713
AT1G16250.1	-0.238113	-0.362326	-0.198571	-0.016514	0.214679
AT1G16400.1	0.013128	-0.260516	-0.299608	-0.254881	0.340129
AT1G16470.1	-0.752782	-0.238398	-0.696322	-0.793369	-0.173015
AT1G16800.1	-0.018173	-0.254314	-0.301543	-0.183946	0.404037
AT1G16850.1	-0.153986	-0.448717	-0.257887	-0.173817	0.167562
AT1G16880.1	-0.117321	-0.216074	-0.235824	-0.186547	0.059837
AT1G16920.1	-0.389139	-0.313424	-0.086281	-0.217208	-0.606844
AT1G17100.1	-0.204497	-0.323337	-0.24411	-0.234207	-0.234207
AT1G17220.1	-0.185615	-0.223475	-0.192505	-0.182188	-0.190783
AT1G17290.1	-0.19507	-0.101748	-0.083084	-0.064408	0.028969
AT1G17370.1	-0.147417	-0.120239	-0.038707	0.064668	0.676664
AT1G17400.1	0.002562	-0.158494	0.030933	0.208748	0.394772
AT1G17780.2	-0.27722	-0.544495	-0.308455	-0.161888	0.011194
AT1G17880.1	-0.387487	-0.101512	0.075104	0.108376	0.424012
AT1G18070.1	-0.162492	-0.162492	-0.189202	-0.181751	0.062503
AT1G18080.1	4.011355	3.795793	4.002595	4.19405	4.302933
AT1G18160.1	-0.18216	-0.415195	-0.448485	-0.442167	-0.094315
AT1G18210.1	-0.150869	-0.281474	-0.115942	0.057549	0.262504
AT1G18265.1	-0.163583	-0.301436	-0.32113	-0.275685	0.138629
