Protein	MapManNumer	Description	NA_1_1	NA_1_2	NA_1_3	NA_2_1	NA_2_2	NA_2_3	NA_3_1	NA_3_2	NA_3_3	CA_1_1	CA_1_2	CA_1_3	CA_2_1	CA_2_2	CA_2_3	CA_3_1	CA_3_2	CA_3_3	DA6_1_1	DA6_1_2	DA6_1_3	DA6_2_1	DA6_2_2	DA6_2_3	DA6_3_1	DA6_3_2	DA6_3_3	DA12_1_1	DA12_1_2	DA12_1_3	DA12_2_1	DA12_2_2	DA12_2_3	DA12_3_1	DA12_3_2	DA12_3_3	DA24_1_1	DA24_1_2	DA24_1_3	DA24_2_1	DA24_2_2	DA24_2_3	DA24_3_1	DA24_3_2	DA24_3_3
AT1G01050.1	GMM:23.4.99	nucleotide metabolism.phosphotransfer and pyrophosphatases.misc	NaN	-0.189325	0.106734	NaN	-0.048825	NaN	-0.503914	NaN	NaN	NaN	NaN	-0.121348	NaN	0.192607	NaN	NaN	0.216804	NaN	NaN	-0.230136	NaN	NaN	NaN	NaN	NaN	NaN	0.104950	NaN	NaN	NaN	NaN	NaN	-0.349937	NaN	-0.082531	NaN	0.065973	0.253661	0.259927	0.041555	NaN	0.278227	NaN	NaN	NaN
AT1G01090.1	GMM:8.1.1.1	TCA / organic transformation.TCA.pyruvate DH.E1	0.112924	0.327986	NaN	0.121113	-0.122148	0.324715	0.622383	-0.005331	0.329506	0.288364	0.230544	0.009642	0.356013	0.102748	0.305406	0.311485	NaN	NaN	0.248278	-0.225357	NaN	NaN	-4.872407	NaN	NaN	0.172757	NaN	-4.815161	-0.354948	0.218651	0.018454	0.180507	-0.272469	-0.172174	-0.140776	0.157157	-0.226751	NaN	-0.318375	0.274425	NaN	0.061989	0.101234	NaN	-0.111335
AT1G01100.1	GMM:29.2.1.2.2.81	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.P1	0.079163	0.115065	0.191363	0.042959	-6.211290	0.080987	NaN	-0.057683	0.067408	NaN	NaN	0.009026	-0.076897	-0.126875	0.173279	NaN	0.350041	0.146409	-0.138843	-0.041515	0.103323	0.041856	0.109773	0.033590	-0.009962	0.053128	0.064453	0.052498	NaN	0.052436	-0.154130	0.224669	-0.006386	NaN	NaN	-0.068396	-0.068198	0.188040	-0.025295	0.116487	0.007977	0.006671	-12.687573	0.052444	0.023880
AT1G01320.1	GMM:35.1.27	not assigned.no ontology.tetratricopeptide repeat (TPR)	0.004901	0.050065	NaN	-1.037051	-10.762067	NaN	-0.252361	NaN	-0.082733	-0.048333	0.223363	NaN	-0.169333	-5.332500	NaN	-0.377843	-0.236846	NaN	-0.252596	-1.883919	NaN	-0.169613	-0.977208	NaN	NaN	0.280143	-10.574379	-0.716360	NaN	NaN	0.188168	-1.318462	NaN	-0.981526	-9.720082	NaN	-0.423446	-3.990889	-0.531672	-0.849837	NaN	NaN	-1.628490	NaN	NaN
AT1G01530.1	GMM:27.3.24	RNA.regulation of transcription.MADS box transcription factor family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-10.233413	NaN	NaN
AT1G01620.1	GMM:34.19.1	transport.major intrinsic proteins.PIP	NaN	NaN	0.209297	NaN	NaN	-9.602790	NaN	NaN	0.042180	NaN	NaN	NaN	NaN	NaN	-0.179494	NaN	NaN	-0.267392	NaN	NaN	-0.134585	NaN	NaN	-9.987496	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.124477	NaN	NaN	-0.723173	NaN	NaN	NaN	NaN	NaN	-0.301266	NaN	NaN	-0.272125
AT1G01800.1	GMM:26.22	misc.short chain dehydrogenase/reductase (SDR)	NaN	NaN	NaN	NaN	NaN	NaN	-0.076020	NaN	0.359223	NaN	-10.708292	NaN	NaN	NaN	-0.115831	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.384405	NaN	NaN	NaN	0.927029	NaN	NaN	0.001758	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G01950.1	GMM:31.1	cell.organisation	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-8.816415	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G01990.1			NaN	NaN	0.164177	NaN	0.041559	NaN	3.017123	-11.988272	NaN	-11.861644	0.193470	0.255530	-12.075433	-12.007094	NaN	-11.672463	NaN	NaN	-12.079475	-0.098410	NaN	NaN	0.385893	0.210356	-12.157124	NaN	NaN	NaN	0.089327	-0.351666	NaN	2.548286	NaN	NaN	0.226014	0.014336	NaN	-12.161920	-12.250953	-0.048128	NaN	NaN	NaN	NaN	-12.126553
AT1G02475.1			NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-8.746125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-9.002540	NaN	NaN	NaN	NaN	NaN	NaN	NaN
