Key	MapManNumber	Description
AT1G01050.1	GMM:23.4.99	nucleotide metabolism.phosphotransfer and pyrophosphatases.misc
AT1G01090.1	GMM:8.1.1.1	TCA / organic transformation.TCA.pyruvate DH.E1
AT1G01100.1	GMM:29.2.1.2.2.81	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.P1
AT1G01320.1	GMM:35.1.27	not assigned.no ontology.tetratricopeptide repeat (TPR)
AT1G01530.1	GMM:27.3.24	RNA.regulation of transcription.MADS box transcription factor family
AT1G01620.1	GMM:34.19.1	transport.major intrinsic proteins.PIP
AT1G01800.1	GMM:26.22	misc.short chain dehydrogenase/reductase (SDR)
AT1G01950.1	GMM:31.1	cell.organisation
AT1G01990.1		
AT1G02475.1		
AT1G02500.1	GMM:13.1.3.4.11	amino acid metabolism.synthesis.aspartate family.methionine.S-adenosylmethionine synthetase
AT1G02560.1	GMM:29.5.5	protein.degradation.serine protease
AT1G02620.1	GMM:30.5	signalling.G-proteins
AT1G02730.1	GMM:10.2.1	cell wall.cellulose synthesis.cellulose synthase
AT1G02740.1	GMM:27.3.54	RNA.regulation of transcription.histone acetyltransferases
AT1G02780.1	GMM:29.2.1.2.2.19	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L19
AT1G02790.1	GMM:10.6.3	cell wall.degradation.pectate lyases and polygalacturonases
AT1G02920.1	GMM:26.9	misc.glutathione S transferases
AT1G02930.1	GMM:26.9	misc.glutathione S transferases
AT1G03020.1	GMM:21.4	redox.glutaredoxins
AT1G03022.1		
AT1G03130.1	GMM:1.1.2.2	PS.lightreaction.photosystem I.PSI polypeptide subunits
AT1G03160.1	GMM:30.5	signalling.G-proteins
AT1G03220.1	GMM:29.5.4	protein.degradation.aspartate protease
AT1G03350.1	GMM:35.1.8	not assigned.no ontology.BSD domain-containing protein
AT1G03360.1	GMM:27.1.19	RNA.processing.ribonucleases
AT1G03475.1	GMM:19.8	tetrapyrrole synthesis.coproporphyrinogen III oxidase
AT1G03490.1	GMM:33.99	development.unspecified
AT1G03520.1	GMM:26.2	misc.UDP glucosyl and glucoronyl transferases
AT1G03600.1	GMM:1.1.1.2	PS.lightreaction.photosystem II.PSII polypeptide subunits
AT1G03630.1	GMM:19.14	tetrapyrrole synthesis.protochlorophyllide reductase
AT1G03680.1	GMM:21.1	redox.thioredoxin
AT1G03750.1	GMM:28.1	DNA.synthesis/chromatin structure
AT1G03870.1	GMM:10.5.1.1	cell wall.cell wall proteins.AGPs.AGP
AT1G03990.1		
AT1G04090.1		
AT1G04110.1	GMM:29.5.1	protein.degradation.subtilases
AT1G04140.1	GMM:33.99	development.unspecified
AT1G04270.1	GMM:29.2.1.2.1.15	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S15
AT1G04300.1	GMM:35.1	not assigned.no ontology
AT1G04380.1	GMM:17.5.1	hormone metabolism.ethylene.synthesis-degradation
AT1G04410.1	GMM:8.2.9	TCA / organic transformation.other organic acid transformations.cyt MDH
AT1G04420.1	GMM:3.5	minor CHO metabolism.others
AT1G04430.1	GMM:20.2.3	stress.abiotic.drought/salt
AT1G04480.1	GMM:29.2.1.2.2.23	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L23
AT1G04510.1		
AT1G04620.1	GMM:18	Co-factor and vitamine metabolism
AT1G04690.1	GMM:34.15	transport.potassium
AT1G04820.1	GMM:31.1	cell.organisation
AT1G04840.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein
AT1G04880.1	GMM:27.3.38	RNA.regulation of transcription.AT-rich interaction domain containing transcription factor family
AT1G04920.1	GMM:2.1.1.1	major CHO metabolism.synthesis.sucrose.SPS
AT1G04945.1	GMM:35.1	not assigned.no ontology
AT1G04980.1	GMM:21.1.1	redox.thioredoxin.PDIL
AT1G05010.1	GMM:17.5.1.2	hormone metabolism.ethylene.synthesis-degradation.1-aminocyclopropane-1-carboxylate oxidase
AT1G05055.1	GMM:27.3.99	RNA.regulation of transcription.unclassified
AT1G05190.1	GMM:29.2.1.1.1.2.6	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L6
AT1G05490.1	GMM:27.3.44	RNA.regulation of transcription.chromatin remodeling factors
AT1G05790.1	GMM:11.9.2.1	lipid metabolism.lipid degradation.lipases.triacylglycerol lipase
AT1G05820.1	GMM:35.1	not assigned.no ontology
AT1G05830.1	GMM:27.3.69	RNA.regulation of transcription.SET-domain transcriptional regulator family
AT1G05890.1	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING
AT1G05910.1	GMM:31.2	cell.division
AT1G06430.1	GMM:29.5.7	protein.degradation.metalloprotease
AT1G06500.1		
AT1G06530.1	GMM:31.1	cell.organisation
AT1G06670.1	GMM:28.99	DNA.unspecified
AT1G06680.1	GMM:1.1.1.2	PS.lightreaction.photosystem II.PSII polypeptide subunits
AT1G06690.1	GMM:3.5	minor CHO metabolism.others
AT1G06720.1	GMM:29.2.2.3.99;GMM:29.2.2.2.2	protein.synthesis.ribosome biogenesis.pre-rRNA processing and modifications.misc;protein.synthesis.ribosome biogenesis.assembly factors.GTPases
AT1G06730.1	GMM:3.5	minor CHO metabolism.others
AT1G06820.1	GMM:16.1.4.8	secondary metabolism.isoprenoids.carotenoids.carotenoid isomerase
AT1G06950.1	GMM:29.3.3	protein.targeting.chloroplast
AT1G07070.1	GMM:29.2.1.2.2.535	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L35A
AT1G07130.1	GMM:27.3.99	RNA.regulation of transcription.unclassified
AT1G07140.1	GMM:30.5	signalling.G-proteins
AT1G07180.1	GMM:9.2.1.4	mitochondrial electron transport / ATP synthesis.NADH-DH.type II.internal matrix
AT1G07320.1	GMM:29.2.1.1.1.2.4	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L4
AT1G07380.1	GMM:11.8.1.1	"lipid metabolism.exotics (steroids, squalene etc).sphingolipids.ceramidase"
AT1G07660.1	GMM:28.1.3.2.4	DNA.synthesis/chromatin structure.histone.core.H4
AT1G07660.2	GMM:28.1.3.2.4	DNA.synthesis/chromatin structure.histone.core.H4
AT1G07770.1	GMM:29.2.1.2.1.515	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S15A
AT1G07790.1	GMM:28.1.3.2.2	DNA.synthesis/chromatin structure.histone.core.H2B
AT1G07890.1	GMM:21.2.1	redox.ascorbate and glutathione.ascorbate
AT1G07920.1	GMM:29.2.4	protein.synthesis.elongation
AT1G07970.1		
AT1G08110.4	GMM:24.2;GMM:13.2.3.2	biodegradation of xenobiotics.lactoylglutathione lyase;amino acid metabolism.degradation.aspartate family.threonine
AT1G08130.1	GMM:28.1	DNA.synthesis/chromatin structure
AT1G08200.1	GMM:10.1.3	cell wall.precursor synthesis.AXS
AT1G08360.1	GMM:29.2.1.1.3.2.510	protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.50S subunit.L10A
AT1G08400.1		
AT1G08420.1	GMM:29.4	protein.postranslational modification
AT1G08520.1	GMM:19.10	tetrapyrrole synthesis.magnesium chelatase
AT1G08600.1	GMM:27.3.44	RNA.regulation of transcription.chromatin remodeling factors
AT1G08760.1		
AT1G08800.1	GMM:35.1	not assigned.no ontology
AT1G08910.1	GMM:27.3.99	RNA.regulation of transcription.unclassified
AT1G08920.1	GMM:34.2	transport.sugars
AT1G08990.1	GMM:2.1.2	major CHO metabolism.synthesis.starch
AT1G09100.1	GMM:29.5.11.20	protein.degradation.ubiquitin.proteasom
AT1G09130.1	GMM:29.5.5	protein.degradation.serine protease
AT1G09200.1	GMM:28.1.3.2.3	DNA.synthesis/chromatin structure.histone.core.H3
AT1G09210.1	GMM:30.3	signalling.calcium
AT1G09270.1	GMM:29.3.1	protein.targeting.nucleus
AT1G09280.1		
AT1G09310.1		
AT1G09340.1	GMM:35.2	not assigned.unknown
AT1G09590.1	GMM:29.2.1.2.2.21	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L21
AT1G09610.1		
AT1G09620.1	GMM:29.1.4	protein.aa activation.leucine-tRNA ligase
AT1G09640.1	GMM:29.2.4	protein.synthesis.elongation
AT1G09750.1	GMM:27.3.99	RNA.regulation of transcription.unclassified
AT1G09780.1	GMM:4.1.12	glycolysis.cytosolic branch.phosphoglycerate mutase
AT1G09870.1	GMM:26.13	misc.acid and other phosphatases
AT1G10170.1	GMM:27.3.67	RNA.regulation of transcription.putative transcription regulator
AT1G10290.1	GMM:26.17	misc.dynamin
AT1G10320.1	GMM:27.1.1	RNA.processing.splicing
AT1G10350.1	GMM:20.2.1	stress.abiotic.heat
AT1G10370.1	GMM:26.9	misc.glutathione S transferases
AT1G10580.1	GMM:27.1	RNA.processing
AT1G10630.1	GMM:29.4;GMM:29.3.4.99	protein.postranslational modification;protein.targeting.secretory pathway.unspecified
AT1G10670.1	GMM:8.2.11	TCA / organic transformation.other organic acid transformations.atp-citrate lyase
AT1G10750.1	GMM:29.5	protein.degradation
AT1G10760.1	GMM:2.2.2.3	major CHO metabolism.degradation.starch.glucan water dikinase
AT1G10780.1	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX
AT1G10840.1	GMM:29.2.3	protein.synthesis.initiation
AT1G10870.1	GMM:30.5	signalling.G-proteins
AT1G10880.1		
AT1G11070.1	GMM:35.1.41	not assigned.no ontology.hydroxyproline rich proteins
AT1G11100.1	GMM:27.3.44	RNA.regulation of transcription.chromatin remodeling factors
AT1G11160.1	GMM:31.1	cell.organisation
AT1G11430.1	GMM:33.99	development.unspecified
AT1G11545.1	GMM:10.7	cell wall.modification
AT1G11590.1	GMM:10.8.1	cell wall.pectinesterases.PME
