Protein	MapManNumer	Description	NA_1_1	NA_1_2	NA_1_3	NA_2_1	NA_2_2	NA_2_3	NA_3_1	NA_3_2	NA_3_3	CA_1_1	CA_1_2	CA_1_3	CA_2_1	CA_2_2	CA_2_3	CA_3_1	CA_3_2	CA_3_3	DA6_1_1	DA6_1_2	DA6_1_3	DA6_2_1	DA6_2_2	DA6_2_3	DA6_3_1	DA6_3_2	DA6_3_3	DA12_1_1	DA12_1_2	DA12_1_3	DA12_2_1	DA12_2_2	DA12_2_3	DA12_3_1	DA12_3_2	DA12_3_3	DA24_1_1	DA24_1_2	DA24_1_3	DA24_2_1	DA24_2_2	DA24_2_3	DA24_3_1	DA24_3_2	DA24_3_3
AT1G01050.1	GMM:23.4.99	nucleotide metabolism.phosphotransfer and pyrophosphatases.misc	NaN	-0.365421	-0.060033	NaN	-0.167694	0.098682	-0.766881	-0.012920	-0.140564	NaN	-0.288465	-0.474830	-0.573462	-0.112917	0.098682	0.126285	-0.019645	-0.131443	NaN	-0.347361	-0.297376	-0.136921	-0.273546	-0.156054	0.101259	-0.014100	-0.027788	-0.463060	-0.408378	-0.396948	0.652902	-0.359221	-0.568085	0.280705	-0.133610	0.055804	0.068537	0.259295	0.273895	0.156128	-0.093394	0.381407	0.588306	0.271140	0.769285
AT1G01090.1	GMM:8.1.1.1	TCA / organic transformation.TCA.pyruvate DH.E1	-0.121069	0.080540	0.073266	0.159926	-0.237201	0.187573	-0.476114	-0.178470	-0.370957	-0.054175	-0.319580	-0.374042	-0.087867	-0.532513	0.075972	-0.212880	-0.084579	NaN	-0.219763	-0.035865	-0.255774	-0.439862	-0.214986	0.008443	-0.083354	-0.089955	-4.185351	-0.277267	-0.219864	-0.113558	-0.543624	-0.271020	-0.315339	0.044549	-0.191855	0.021236	-0.224186	-0.305952	-0.304407	0.388997	-0.197923	0.165169	0.245179	-0.340152	0.026230
AT1G01100.1	GMM:29.2.1.2.2.81	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.P1	-3.739608	0.136784	-0.074721	-0.080665	-6.330160	0.010161	-0.260382	-0.374854	-0.194044	-0.027161	-0.156486	-0.344457	-0.384025	-0.432400	0.010161	-0.200716	0.113592	-0.104019	-0.254194	-0.165776	-0.155771	-0.048991	0.001977	-0.123462	-0.052132	-0.216448	-0.068284	-0.208413	0.061600	-0.228451	-0.395943	-0.002767	-0.289114	-0.034390	0.027612	0.050320	-0.065633	0.038962	-0.002277	0.136431	0.114532	0.021476	-6.129756	0.145122	0.168657
AT1G01320.1	GMM:35.1.27	not assigned.no ontology.tetratricopeptide repeat (TPR)	-0.141747	-0.331685	-0.929189	-0.412259	-1.503869	-1.542178	-0.962797	-0.626870	-0.646840	-0.398986	-1.995516	-1.101671	-0.466843	-1.840065	-1.542178	-0.598198	-0.953129	-5.934268	-0.624793	-0.261008	-4.845694	-0.495288	-1.085004	-1.110327	-0.780277	-1.831394	-0.342065	-0.305658	-0.870965	-1.418831	-0.080568	-1.545898	-0.355491	-1.026345	-1.704838	0.027157	-0.292446	-1.629755	-0.517703	-0.108305	-1.866425	-1.115811	-0.791068	-1.149827	0.124194
AT1G01530.1	GMM:27.3.24	RNA.regulation of transcription.MADS box transcription factor family	NaN	-9.730771	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-9.903279	-9.775632	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-10.089468	NaN	NaN
AT1G01620.1	GMM:34.19.1	transport.major intrinsic proteins.PIP	-10.008328	NaN	0.042529	NaN	NaN	-9.739931	NaN	NaN	-0.219272	NaN	NaN	NaN	NaN	NaN	-0.408927	NaN	NaN	-0.517821	NaN	NaN	-0.267552	NaN	-9.519361	-10.089119	NaN	NaN	NaN	NaN	NaN	-9.643099	NaN	-7.913109	-0.342625	NaN	0.604925	-0.784760	NaN	NaN	NaN	NaN	-2.726541	-0.198086	-7.990281	NaN	-0.134560
AT1G01800.1	GMM:26.22	misc.short chain dehydrogenase/reductase (SDR)	0.220532	0.021410	0.489215	-10.576701	-0.254111	0.535313	-0.338987	NaN	0.097771	NaN	-11.048160	0.277759	NaN	-0.209451	-0.345265	-0.363309	-0.344889	-0.154882	-0.155064	-0.158683	0.030790	-0.918454	0.610695	-0.413586	NaN	0.239784	0.008099	-0.598764	-0.070043	0.646142	NaN	-0.109921	-0.216389	-0.358842	-10.147819	-0.505624	0.438496	0.251619	-0.015872	-10.774598	-0.133620	-0.055407	-10.743949	0.734978	0.496289
AT1G01950.1	GMM:31.1	cell.organisation	NaN	-9.114591	-11.284737	NaN	-11.293684	-11.063372	NaN	-9.324045	-8.950391	NaN	-11.426317	-11.276813	NaN	-11.037385	-9.045848	NaN	-11.420361	-11.547500	NaN	-8.766093	-11.220130	-8.421795	-11.469306	-10.967767	-11.232201	-9.037944	-11.189807	NaN	-11.454268	-9.784862	NaN	-11.533128	-11.510738	NaN	-10.850492	-11.446991	-9.050801	-8.801530	-11.375454	-9.543983	-11.262356	-11.070184	NaN	-9.000762	-8.943799
AT1G01990.1			-4.809588	-4.956271	1.208414	-12.183396	-0.077311	-6.000807	0.982086	-4.742594	-12.182742	-4.919691	-0.146398	-0.097953	-12.382560	-12.312619	-4.491088	-11.905759	-11.923028	-12.198001	-12.206977	-0.215635	1.395243	-12.473086	0.278097	0.108734	-4.845127	-0.058766	-12.271272	NaN	1.654228	-0.632553	-9.350492	1.145203	-12.425350	1.301356	0.174935	-0.047251	-3.134418	-12.156286	-12.236985	1.366334	-12.510836	0.121376	3.185315	NaN	-11.988988
AT1G02475.1			-9.391270	NaN	NaN	-9.709941	-9.834243	NaN	-9.191946	-9.684393	-9.007577	-9.262262	NaN	NaN	NaN	-8.731100	-9.003206	NaN	NaN	NaN	NaN	-9.554605	NaN	-9.506913	-8.344901	NaN	NaN	NaN	-9.134032	NaN	-9.283333	-9.594216	NaN	-9.189583	-9.451866	-9.458580	-8.703787	NaN	NaN	-8.996906	-9.722825	NaN	NaN	NaN	NaN	NaN	-9.542989
AT1G02500.1	GMM:13.1.3.4.11	amino acid metabolism.synthesis.aspartate family.methionine.S-adenosylmethionine synthetase	0.038813	0.126350	-0.035850	0.078195	0.136522	-0.218804	-0.302509	-0.044399	-0.369712	-0.239662	-0.198679	-0.275355	-0.427685	-0.213739	-0.251043	0.077639	-0.197983	0.103752	0.073123	-0.079243	-0.126691	-0.254654	0.137773	-0.181847	0.094774	-0.106245	-0.211334	-0.050549	-0.103828	-0.155469	-0.171181	-0.251770	-0.129204	0.107992	0.158773	-0.028901	0.162218	0.106528	0.091957	0.333735	0.381390	0.065515	0.365853	0.372019	0.223366
AT1G02560.1	GMM:29.5.5	protein.degradation.serine protease	-0.084266	-0.039017	-0.087759	0.008225	-0.161871	-0.194541	-0.246620	-0.073141	-0.152843	-0.503231	-0.371794	-0.242876	-0.318712	-0.333694	-0.187641	-0.208129	-0.205313	-0.391056	-0.142258	-0.066962	-0.172028	-0.464594	-0.165589	-0.084824	-0.220751	-0.099688	-0.459590	-0.372205	-0.271113	-0.368578	-0.329939	-0.325880	-0.368805	-0.039690	-0.082703	-0.034846	0.175169	0.107127	-0.025743	0.172938	0.010867	0.052178	0.278062	0.099775	0.068913
AT1G02620.1	GMM:30.5	signalling.G-proteins	NaN	-0.392453	0.068772	0.079791	-0.090550	0.062450	-0.401992	0.202811	NaN	NaN	-0.135400	-0.165062	-0.145937	-0.218122	0.324522	-0.246599	-0.246822	-1.810181	NaN	0.282786	0.040623	0.402526	0.172302	NaN	0.265879	-0.041289	0.050167	-9.009898	0.130879	-0.055294	-0.352753	-0.177141	-8.903549	-0.103542	0.417553	0.380829	NaN	0.431902	0.292463	0.313690	0.168645	NaN	0.037327	0.305734	NaN
AT1G02730.1	GMM:10.2.1	cell wall.cellulose synthesis.cellulose synthase	-0.230319	-0.000013	-0.018349	-0.141345	-0.072769	-0.176482	-0.263356	-0.356835	-0.186400	-0.041165	-0.439114	-0.068287	-0.358630	-0.330236	-0.137891	-0.292868	-0.186896	-0.705446	0.089360	0.060220	-0.365475	-0.319430	-0.056983	-0.160339	0.100314	-0.225642	-10.057088	-0.460971	-0.667773	-0.161317	-0.340499	-0.017958	0.452683	-0.160222	0.108397	-0.054341	0.179917	0.056975	-0.376938	-0.007457	0.382268	0.020883	0.102664	0.373568	0.399930
AT1G02740.1	GMM:27.3.54	RNA.regulation of transcription.histone acetyltransferases	NaN	-0.110334	NaN	NaN	-0.073436	NaN	-0.282920	-0.410059	NaN	-0.580650	-0.401146	-0.457658	-0.552990	-0.350237	NaN	-0.318065	-0.269558	-12.160555	-0.014730	-0.075731	NaN	-0.141756	0.001350	NaN	-0.092236	-0.245716	NaN	NaN	-0.061514	NaN	-0.076656	-0.016583	NaN	-0.119024	-0.268051	NaN	-0.089724	0.285915	NaN	0.280475	0.175704	NaN	0.366137	0.015268	NaN
AT1G02780.1	GMM:29.2.1.2.2.19	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L19	-0.130587	-0.034570	-0.173194	-0.147204	-0.193930	-0.238066	-0.228740	-0.058622	-0.259545	-0.386980	-0.490416	-0.365003	-0.232926	-0.325626	-0.241452	-0.247831	-0.082022	-0.126136	-0.277106	-0.095479	-0.282465	0.053217	-0.134416	-0.123155	-0.193426	-0.178429	-0.211432	-0.284825	-0.286582	-0.096989	-0.173149	-0.216491	-0.286095	-0.039734	0.100752	-0.032315	-0.077999	0.040939	0.072067	0.214648	-0.092825	0.141519	0.026558	0.053099	0.165936
AT1G02790.1	GMM:10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	-3.027768	-0.028376	-0.107276	-0.065473	-0.039573	-0.075513	0.036841	-0.216420	-0.052403	0.076107	0.289827	0.181843	-0.147677	-0.237395	-0.075513	0.103620	0.001260	0.081328	-0.071711	0.102952	-0.158686	-11.376262	0.483739	0.180083	0.333354	0.261248	0.378172	0.224293	0.101393	-0.183436	0.389967	0.530236	0.306668	-0.083734	0.042837	0.060948	-0.052452	-0.081838	NaN	-0.027721	-0.034381	0.039401	0.312247	0.118005	0.103649
AT1G02920.1	GMM:26.9	misc.glutathione S transferases	0.224526	0.310923	0.038546	-0.185115	-0.578956	-0.547758	-0.394457	-0.258729	-0.207216	-4.463440	-0.394593	-0.419313	-0.595184	-0.769928	-0.547758	-0.322685	-0.339704	-0.287292	-0.071763	-0.473929	-0.144058	-0.650453	-0.247542	-0.804722	-0.295409	-0.529175	-0.378843	-0.449712	-0.584852	-0.646199	-5.388432	-0.657423	-0.476648	0.745276	0.659633	0.757753	0.244763	0.325004	-0.159045	0.489915	0.689778	0.734526	0.783241	0.738233	0.870279
AT1G02930.1	GMM:26.9	misc.glutathione S transferases	-0.127105	-0.128485	-0.234599	-0.939454	-0.877141	-1.150893	-0.970625	-0.836453	-0.849984	-5.460942	-0.246825	-0.560008	-1.356386	-1.082628	-1.150893	-1.002976	-0.644195	-0.078081	-0.126059	-0.120527	-0.359444	-0.020678	-0.349632	-0.742925	-0.874215	-5.521357	-0.449280	-0.608303	-0.291464	-5.405067	0.157610	-0.525553	0.133007	0.771211	0.885253	-3.858578	-3.929282	0.267320	0.169178	0.654739	0.813586	0.792493	0.933450	1.528404	-3.985210
AT1G03020.1	GMM:21.4	redox.glutaredoxins	-0.155985	-0.213591	-0.391220	0.524296	0.028236	0.025882	-0.239626	-0.454710	-0.128507	-0.346404	-0.531694	-0.471750	-0.860095	-0.434713	-0.192794	-0.165720	0.144772	-0.470915	-0.240007	-0.166914	-0.157923	-0.073030	-0.309477	0.010243	-0.533571	-0.132697	-0.003609	-0.579721	-0.802626	-0.559253	-0.524722	-0.271310	-0.244330	-0.495278	0.346370	0.256105	0.186320	0.624549	0.384350	0.483420	0.889584	0.960928	0.592425	0.279078	0.338609
AT1G03022.1			NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-7.788518	-8.758465	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-8.811256	-7.961419	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-8.002466	NaN	NaN	-7.364240	NaN	NaN	-9.248905	NaN	NaN	NaN
AT1G03130.1	GMM:1.1.2.2	PS.lightreaction.photosystem I.PSI polypeptide subunits	-0.222414	-0.302136	-0.388603	-0.162093	0.183601	0.145215	0.823997	0.115876	-0.154602	-0.393567	-0.450484	-0.194121	-0.710113	-0.233260	0.035084	0.065880	-0.512689	-0.304965	-0.510905	0.015729	-0.709001	-0.312882	0.227420	-0.155459	-0.303255	0.114872	0.017446	-0.629086	-0.158912	-0.181247	0.173076	-0.260314	-0.262389	0.217126	0.297454	0.035734	-0.577829	0.134486	-0.244917	-0.430856	-0.664431	0.400749	-0.251206	0.141800	0.517919
AT1G03160.1	GMM:30.5	signalling.G-proteins	-10.480922	-1.941067	-8.341466	-10.689064	-10.056069	NaN	-7.132522	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-9.019201	NaN	NaN	-1.386432	-8.227409	NaN	NaN	-9.458182	NaN	-2.524319	NaN	-9.308369	NaN	NaN	NaN	NaN	-8.898026	NaN	-7.888864	NaN	NaN	NaN	NaN	-7.817449	-7.719456	NaN	NaN
