Protein	MapManNumer	Description	NA_1_1	NA_1_2	NA_1_3	NA_2_1	NA_2_2	NA_2_3	NA_3_1	NA_3_2	NA_3_3	CA_1_1	CA_1_2	CA_1_3	CA_2_1	CA_2_2	CA_2_3	CA_3_1	CA_3_2	CA_3_3	DA6_1_1	DA6_1_2	DA6_1_3	DA6_2_1	DA6_2_2	DA6_2_3	DA6_3_1	DA6_3_2	DA6_3_3	DA12_1_1	DA12_1_2	DA12_1_3	DA12_2_1	DA12_2_2	DA12_2_3	DA12_3_1	DA12_3_2	DA12_3_3	DA24_1_1	DA24_1_2	DA24_1_3	DA24_2_1	DA24_2_2	DA24_2_3	DA24_3_1	DA24_3_2	DA24_3_3
AT1G01050.1	GMM:23.4.99	nucleotide metabolism.phosphotransfer and pyrophosphatases.misc	NaN	-0.365421	-0.060033	NaN	-0.167694	0.098682	-0.766881	-0.012920	-0.140564	NaN	-0.288465	-0.474830	-0.573462	-0.112917	0.098682	0.126285	-0.019645	-0.131443	NaN	-0.347361	-0.297376	-0.136921	-0.273546	-0.156054	0.101259	-0.014100	-0.027788	-0.463060	-0.408378	-0.396948	0.652902	-0.359221	-0.568085	0.280705	-0.133610	0.055804	0.068537	0.259295	0.273895	0.156128	-0.093394	0.381407	0.588306	0.271140	0.769285
AT1G01090.1	GMM:8.1.1.1	TCA / organic transformation.TCA.pyruvate DH.E1	-0.121069	0.080540	0.073266	0.159926	-0.237201	0.187573	-0.476114	-0.178470	-0.151451	-0.054175	-0.319580	-0.374042	-0.087867	-0.367644	0.075972	-0.212880	-0.084579	NaN	-0.049493	-0.035865	-0.255774	-0.439862	-0.136549	0.008443	-0.083354	-0.089955	0.196012	-0.149428	-0.219864	-0.113558	-0.543624	-0.271020	-0.315339	0.044549	-0.191855	0.021236	-0.224186	-0.305952	-0.194474	0.388997	-0.092136	0.165169	0.245179	-0.112194	0.026230
AT1G01100.1	GMM:29.2.1.2.2.81	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.P1	-0.067484	0.136784	-0.074721	-0.080665	0.008559	0.010161	-0.260382	-0.374854	-0.194044	-0.027161	-0.156486	-0.344457	-0.384025	-0.432400	0.010161	-0.200716	0.113592	-0.104019	-0.254194	-0.165776	-0.155771	-0.048991	0.001977	-0.123462	-0.052132	-0.216448	-0.068284	-0.208413	0.061600	-0.228451	-0.395943	-0.002767	-0.289114	-0.034390	0.027612	0.050320	-0.065633	0.038962	-0.002277	0.136431	0.114532	0.021476	0.284116	0.145122	0.168657
AT1G01320.1	GMM:35.1.27	not assigned.no ontology.tetratricopeptide repeat (TPR)	-0.110185	-0.331685	-0.929189	-0.412259	-0.620050	-0.888880	-0.962797	-0.626870	-0.495512	-0.224501	-1.056010	-1.101671	-0.457225	-1.207101	-1.066462	-0.598198	-0.953129	-1.387389	-0.624793	-0.261008	-0.916092	-0.495288	-1.085004	-1.110327	-0.780277	-0.847936	0.088240	-0.305658	-0.870965	-0.963682	-0.080568	-0.977980	0.054307	-1.026345	-0.746007	0.027157	-0.292446	-0.710453	-0.517703	-0.108305	-0.797650	-0.522734	-0.097591	-0.569737	0.124194
AT1G01530.1	GMM:27.3.24	RNA.regulation of transcription.MADS box transcription factor family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G01620.1	GMM:34.19.1	transport.major intrinsic proteins.PIP	NaN	NaN	0.042529	NaN	NaN	NaN	NaN	NaN	-0.219272	NaN	NaN	NaN	NaN	NaN	-0.408927	NaN	NaN	-0.517821	NaN	NaN	-0.267552	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.342625	NaN	0.604925	-0.784760	NaN	NaN	NaN	NaN	-2.726541	-0.198086	NaN	NaN	-0.134560
AT1G01800.1	GMM:26.22	misc.short chain dehydrogenase/reductase (SDR)	0.220532	0.021410	0.489215	NaN	-0.254111	0.535313	-0.338987	NaN	0.097771	NaN	NaN	0.277759	NaN	-0.209451	-0.345265	-0.363309	-0.344889	-0.154882	-0.155064	-0.158683	0.030790	-0.918454	0.610695	-0.413586	NaN	0.239784	0.008099	-0.598764	-0.070043	0.646142	NaN	-0.109921	-0.216389	-0.358842	NaN	-0.505624	0.438496	0.251619	-0.015872	NaN	-0.133620	-0.055407	NaN	0.734978	0.496289
AT1G01950.1	GMM:31.1	cell.organisation	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G01990.1			2.469842	2.288992	1.208414	NaN	-0.077311	-3.164462	0.982086	2.755159	NaN	2.364800	-0.146398	-0.097953	NaN	NaN	-0.145025	NaN	NaN	NaN	NaN	-0.215635	1.395243	NaN	0.278097	0.108734	2.606344	-0.058766	NaN	NaN	1.654228	-0.632553	NaN	1.145203	NaN	1.301356	0.174935	-0.047251	3.216121	NaN	NaN	1.366334	NaN	0.121376	3.185315	NaN	NaN
AT1G02475.1			NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G02500.1	GMM:13.1.3.4.11	amino acid metabolism.synthesis.aspartate family.methionine.S-adenosylmethionine synthetase	0.318696	0.126350	-0.035850	0.078195	0.136522	-0.218804	-0.302509	-0.044399	-0.369712	-0.239662	-0.145351	-0.224960	-0.409891	-0.213739	-0.251043	0.077639	-0.197983	0.103752	0.073123	-0.079243	-0.126691	-0.254654	0.137773	-0.181847	0.094774	-0.094661	-0.211334	-0.050549	-0.103828	-0.124724	-0.171181	-0.159485	-0.129204	0.107992	0.236835	-0.028901	0.206780	0.140681	0.179570	0.333735	0.381390	0.065515	0.444350	0.407732	0.223366
