Protein	MapManNumer	Description	NA_1_1	NA_1_2	NA_1_3	NA_2_1	NA_2_2	NA_2_3	NA_3_1	NA_3_2	NA_3_3	CA_1_1	CA_1_2	CA_1_3	CA_2_1	CA_2_2	CA_2_3	CA_3_1	CA_3_2	CA_3_3	DA6_1_1	DA6_1_2	DA6_1_3	DA6_2_1	DA6_2_2	DA6_2_3	DA6_3_1	DA6_3_2	DA6_3_3	DA12_1_1	DA12_1_2	DA12_1_3	DA12_2_1	DA12_2_2	DA12_2_3	DA12_3_1	DA12_3_2	DA12_3_3	DA24_1_1	DA24_1_2	DA24_1_3	DA24_2_1	DA24_2_2	DA24_2_3	DA24_3_1	DA24_3_2	DA24_3_3
AT1G01050.1	GMM:23.4.99	nucleotide metabolism.phosphotransfer and pyrophosphatases.misc	NaN	-0.189325	0.106734	NaN	-0.048825	0.235823	-0.503914	0.239155	0.120888	NaN	0.051403	-0.121348	-0.266335	0.192607	0.328115	0.359580	0.216804	0.118986	NaN	-0.230136	-0.164409	-0.046075	-0.165750	-0.054431	0.240733	0.130521	0.104950	-0.202148	-0.142136	-0.116061	0.855358	-0.131785	-0.349937	0.338197	-0.082531	0.117391	0.065973	0.253661	0.259927	0.041555	-0.199949	0.278227	0.444361	0.144636	0.631720
AT1G01090.1	GMM:8.1.1.1	TCA / organic transformation.TCA.pyruvate DH.E1	0.025579	0.256637	0.240033	0.283550	-0.118331	0.324715	-0.213147	0.073605	0.110001	0.288364	0.020288	-0.020559	0.219260	-0.062120	0.305406	0.020415	0.151870	NaN	0.078008	0.081360	-0.122807	-0.349015	-0.028753	0.110065	0.056120	0.054666	0.328749	0.111484	0.046378	0.167330	-0.341167	-0.043584	-0.097191	0.102041	-0.140776	0.082823	-0.226751	-0.311585	-0.208442	0.274425	-0.198691	0.061989	0.101234	-0.238697	-0.111335
AT1G01100.1	GMM:29.2.1.2.2.81	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.P1	0.079163	0.312880	0.092046	0.042959	0.127429	0.147302	0.002586	-0.122779	0.067408	0.315378	0.183382	0.009026	-0.076897	-0.126875	0.239594	0.032580	0.350041	0.146409	-0.126693	-0.048551	-0.022804	0.041856	0.109773	-0.021840	0.087342	-0.071827	0.064453	0.052498	0.327842	0.052436	-0.193486	0.224669	-0.070966	0.023103	0.078691	0.111907	-0.068198	0.033329	-0.016246	0.021859	0.007977	-0.081704	0.140172	0.018618	0.031091
AT1G01320.1	GMM:35.1.27	not assigned.no ontology.tetratricopeptide repeat (TPR)	0.036463	-0.155588	-0.762422	-0.288635	-0.501180	-0.751739	-0.699830	-0.374795	-0.234061	0.118038	-0.716143	-0.748188	-0.150097	-0.901577	-0.837028	-0.364902	-0.716680	-1.136960	-0.497291	-0.143783	-0.783126	-0.404442	-0.977208	-1.008705	-0.640803	-0.703315	0.220977	-0.044746	-0.604723	-0.682795	0.121888	-0.750544	0.272454	-0.968852	-0.694928	0.088744	-0.295010	-0.716087	-0.531672	-0.222878	-0.904205	-0.625914	-0.241535	-0.696241	-0.013372
AT1G01530.1	GMM:27.3.24	RNA.regulation of transcription.MADS box transcription factor family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G01620.1	GMM:34.19.1	transport.major intrinsic proteins.PIP	NaN	NaN	0.209297	NaN	NaN	NaN	NaN	NaN	0.042180	NaN	NaN	NaN	NaN	NaN	-0.179494	NaN	NaN	-0.267392	NaN	NaN	-0.134585	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.124477	NaN	0.656004	-0.723173	NaN	NaN	NaN	NaN	-2.833095	-0.301266	NaN	NaN	-0.272125
AT1G01800.1	GMM:26.22	misc.short chain dehydrogenase/reductase (SDR)	0.367180	0.197506	0.655983	NaN	-0.135241	0.672455	-0.076020	NaN	0.359223	NaN	NaN	0.631242	NaN	0.096073	-0.115831	-0.130014	-0.108440	0.095547	-0.027563	-0.041458	0.163757	-0.827608	0.718491	-0.311963	NaN	0.384405	0.140836	-0.337852	0.196198	0.927029	NaN	0.117515	0.001758	-0.301350	NaN	-0.444037	0.435931	0.245985	-0.029841	NaN	-0.240175	-0.158587	NaN	0.608474	0.358724
AT1G01950.1	GMM:31.1	cell.organisation	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G01990.1			2.616489	2.465088	1.375182	NaN	0.041559	-3.027320	1.245053	3.007233	NaN	2.707339	0.193470	0.255530	NaN	NaN	0.084409	NaN	NaN	NaN	NaN	-0.098410	1.528210	NaN	0.385893	0.210356	2.745818	0.085856	NaN	NaN	1.920470	-0.351666	NaN	1.372639	NaN	1.358849	0.226014	0.014336	3.213556	NaN	NaN	1.251762	NaN	0.018196	3.041371	NaN	NaN
AT1G02475.1			NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G02500.1	GMM:13.1.3.4.11	amino acid metabolism.synthesis.aspartate family.methionine.S-adenosylmethionine synthetase	0.465344	0.302447	0.130917	0.201820	0.255391	-0.081662	-0.039542	0.207676	-0.108260	0.102877	0.194516	0.128522	-0.102764	0.091785	-0.021609	0.310934	0.038466	0.354181	0.200624	0.037982	0.006276	-0.163808	0.245569	-0.080225	0.234248	0.049961	-0.078597	0.210363	0.162414	0.156163	0.031275	0.067951	0.088944	0.165484	0.287914	0.032686	0.204215	0.135048	0.165601	0.219162	0.274835	-0.037665	0.300405	0.281228	0.085801
AT1G02560.1	GMM:29.5.5	protein.degradation.serine protease	0.062381	0.137079	0.079008	0.145220	-0.043002	-0.050500	0.016347	0.178934	0.108609	-0.160693	-0.031926	0.110607	-0.011585	-0.028170	0.041792	0.025166	0.031136	-0.140627	-0.014757	0.050263	-0.039061	-0.013384	-0.057793	0.016799	-0.081277	0.044933	-0.143103	-0.078625	-0.004872	-0.087691	-0.127482	-0.098444	-0.150658	0.038888	-0.031624	0.117892	0.209900	0.101493	-0.039711	0.064033	-0.095688	-0.041343	0.134118	-0.026729	0.118389
AT1G02620.1	GMM:30.5	signalling.G-proteins	NaN	-0.216356	0.235539	0.203415	0.028320	0.199592	-0.139025	0.454886	NaN	NaN	0.204468	0.188421	0.161191	0.087403	0.553956	-0.013304	-0.010373	-1.559752	NaN	0.400012	0.173590	0.493372	0.280098	NaN	0.405353	0.103333	0.182905	NaN	0.397121	0.225593	-0.150297	0.050295	NaN	-0.046050	0.468632	0.442416	NaN	0.426269	0.278495	0.199117	0.062090	NaN	-0.106617	0.179230	NaN
AT1G02730.1	GMM:10.2.1	cell wall.cellulose synthesis.cellulose synthase	-0.083671	0.176083	0.148418	-0.017721	0.046101	-0.039341	-0.000389	-0.104760	0.075051	0.301374	-0.099247	0.285196	-0.051503	-0.024711	0.091542	-0.059573	0.049553	-0.455017	0.216861	0.177445	-0.232508	-0.228584	0.050813	-0.058716	0.239787	-0.081021	NaN	-0.200060	-0.401532	0.119570	-0.138043	0.209478	0.670830	-0.102729	0.159475	0.007246	0.177353	0.051342	-0.390907	-0.122029	0.275713	-0.082297	-0.041281	0.247064	0.262365
