Protein	MapManNumer	Description	NA_1_1	NA_1_2	NA_1_3	NA_2_1	NA_2_2	NA_2_3	NA_3_1	NA_3_2	NA_3_3	CA_1_1	CA_1_2	CA_1_3	CA_2_1	CA_2_2	CA_2_3	CA_3_1	CA_3_2	CA_3_3	DA6_1_1	DA6_1_2	DA6_1_3	DA6_2_1	DA6_2_2	DA6_2_3	DA6_3_1	DA6_3_2	DA6_3_3	DA12_1_1	DA12_1_2	DA12_1_3	DA12_2_1	DA12_2_2	DA12_2_3	DA12_3_1	DA12_3_2	DA12_3_3	DA24_1_1	DA24_1_2	DA24_1_3	DA24_2_1	DA24_2_2	DA24_2_3	DA24_3_1	DA24_3_2	DA24_3_3
AT1G01050.1	GMM:23.4.99	nucleotide metabolism.phosphotransfer and pyrophosphatases.misc	NaN	-0.365421	-0.060033	NaN	-0.167694	NaN	-0.766881	NaN	NaN	NaN	NaN	-0.474830	NaN	-0.112917	NaN	NaN	-0.019645	NaN	NaN	-0.347361	NaN	NaN	NaN	NaN	NaN	NaN	-0.027788	NaN	NaN	NaN	NaN	NaN	-0.568085	NaN	-0.133610	NaN	0.068537	0.259295	0.273895	0.156128	NaN	0.381407	NaN	NaN	NaN
AT1G01090.1	GMM:8.1.1.1	TCA / organic transformation.TCA.pyruvate DH.E1	-0.033724	0.151890	NaN	-0.002511	-0.241018	0.187573	0.359416	-0.257406	0.068054	-0.054175	-0.109323	-0.343841	0.048885	-0.202776	0.075972	0.078190	NaN	NaN	0.120776	-0.342583	NaN	NaN	-4.980203	NaN	NaN	0.028135	NaN	-5.076073	-0.621189	-0.062236	-0.184002	-0.046929	-0.490617	-0.229666	-0.191855	0.095570	-0.224186	NaN	-0.304407	0.388997	NaN	0.165169	0.245179	NaN	0.026230
AT1G01100.1	GMM:29.2.1.2.2.81	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.P1	-0.067484	-0.061032	0.024596	-0.080665	-6.330160	-0.056155	NaN	-0.309757	-0.194044	NaN	NaN	-0.344457	-0.384025	-0.432400	-0.056155	NaN	0.113592	-0.104019	-0.266344	-0.158740	-0.029644	-0.048991	0.001977	-0.068032	-0.149436	-0.091493	-0.068284	-0.208413	NaN	-0.228451	-0.356587	-0.002767	-0.224533	NaN	NaN	-0.129983	-0.065633	0.193674	-0.011326	0.231060	0.114532	0.109851	-12.543628	0.178948	0.161445
AT1G01320.1	GMM:35.1.27	not assigned.no ontology.tetratricopeptide repeat (TPR)	-0.141747	-0.126031	NaN	-1.160676	-10.880936	NaN	-0.515328	NaN	-0.344185	-0.390872	-0.116505	NaN	-0.476460	-5.638025	NaN	-0.611138	-0.473295	NaN	-0.380097	-2.001144	NaN	-0.260459	-1.085004	NaN	NaN	0.135522	-10.707116	-0.977272	NaN	NaN	-0.014288	-1.545898	NaN	-1.039018	-9.771161	NaN	-0.420881	-3.985256	-0.517703	-0.735264	NaN	NaN	-1.484545	NaN	NaN
AT1G01530.1	GMM:27.3.24	RNA.regulation of transcription.MADS box transcription factor family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-10.089468	NaN	NaN
AT1G01620.1	GMM:34.19.1	transport.major intrinsic proteins.PIP	NaN	NaN	0.042529	NaN	NaN	-9.739931	NaN	NaN	-0.219272	NaN	NaN	NaN	NaN	NaN	-0.408927	NaN	NaN	-0.517821	NaN	NaN	-0.267552	NaN	NaN	-10.089119	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.342625	NaN	NaN	-0.784760	NaN	NaN	NaN	NaN	NaN	-0.198086	NaN	NaN	-0.134560
AT1G01800.1	GMM:26.22	misc.short chain dehydrogenase/reductase (SDR)	NaN	NaN	NaN	NaN	NaN	NaN	-0.338987	NaN	0.097771	NaN	-11.048160	NaN	NaN	NaN	-0.345265	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.239784	NaN	NaN	NaN	0.646142	NaN	NaN	-0.216389	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G01950.1	GMM:31.1	cell.organisation	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-9.045848	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G01990.1			NaN	NaN	-0.002591	NaN	-0.077311	NaN	2.754156	-12.240347	NaN	-12.204183	-0.146398	-0.097953	-12.382560	-12.312619	NaN	-11.905759	NaN	NaN	-12.206977	-0.215635	NaN	NaN	0.278097	0.108734	-12.296598	NaN	NaN	NaN	-0.176915	-0.632553	NaN	2.320850	NaN	NaN	0.174935	-0.047251	NaN	-12.156286	-12.236985	0.066444	NaN	NaN	NaN	NaN	-11.988988
AT1G02475.1			NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-9.007577	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-8.996906	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G02500.1	GMM:13.1.3.4.11	amino acid metabolism.synthesis.aspartate family.methionine.S-adenosylmethionine synthetase	0.178755	0.126350	-0.035850	0.078195	0.136522	NaN	-0.175998	-0.044399	-0.369712	-0.239662	-0.198679	-0.151526	-0.409891	-0.518857	-0.230836	0.170410	-0.015120	0.098267	0.168604	-0.166983	-0.252295	-0.254654	0.137773	-0.309598	0.034466	-0.094661	-0.211093	-0.022940	-0.279172	0.135200	-0.171181	-0.240862	-0.140537	-0.075042	0.080711	-0.037266	0.310942	-5.880551	0.179570	0.162328	0.421029	0.286928	0.644005	0.496433	0.304884
AT1G02560.1	GMM:29.5.5	protein.degradation.serine protease	-0.053068	0.089459	-0.126364	0.209999	0.145039	0.125462	-0.210058	-0.133085	-0.152843	-0.463737	-0.371794	-0.598891	-0.424689	-0.333694	0.125462	-0.187888	-0.114869	-0.171302	-0.248267	0.087644	-0.241006	-0.464594	-0.045092	0.026949	-0.191083	-0.108241	-0.275840	-0.306870	-0.408520	-0.292087	-0.364922	-0.266513	-0.240977	0.002482	-0.032578	NaN	0.212465	0.107127	-0.004087	0.172938	0.005368	0.052178	0.278062	0.152462	-5.227876
AT1G02620.1	GMM:30.5	signalling.G-proteins	NaN	NaN	0.068772	NaN	NaN	0.062450	NaN	0.202811	NaN	NaN	-0.135400	-0.165062	-0.145937	NaN	NaN	-0.246599	NaN	NaN	NaN	NaN	0.040623	NaN	0.172302	NaN	0.265879	-0.041289	0.050167	NaN	0.130879	-0.055294	NaN	NaN	NaN	NaN	0.417553	0.380829	NaN	0.431902	0.292463	0.313690	NaN	NaN	NaN	NaN	NaN
AT1G02730.1	GMM:10.2.1	cell wall.cellulose synthesis.cellulose synthase	NaN	NaN	NaN	-0.141345	NaN	-0.176482	-0.263356	-0.356835	NaN	-0.041165	-0.439114	NaN	NaN	-0.330236	-0.137891	-0.292868	-0.186896	NaN	NaN	0.060220	NaN	NaN	-0.056983	-0.160339	NaN	-0.225642	-10.057088	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.108397	-0.054341	0.179917	NaN	NaN	-0.007457	0.382268	NaN	0.102664	0.373568	NaN
AT1G02740.1	GMM:27.3.54	RNA.regulation of transcription.histone acetyltransferases	NaN	-0.110334	NaN	NaN	-0.073436	NaN	-0.282920	NaN	NaN	-0.580650	-0.401146	-0.457658	NaN	-0.350237	NaN	-0.318065	-0.269558	-12.160555	-0.014730	NaN	NaN	-0.141756	0.001350	NaN	-0.092236	-0.245716	NaN	NaN	-0.061514	NaN	-0.076656	NaN	NaN	-0.119024	-0.268051	NaN	NaN	0.285915	NaN	0.280475	0.175704	NaN	NaN	0.015268	NaN
AT1G02780.1	GMM:29.2.1.2.2.19	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L19	-0.130587	-0.034570	-0.062266	0.315561	-0.189932	-0.238464	-0.251428	-0.212877	-0.275240	-0.485894	-0.485437	-0.464335	-0.373812	-0.327338	-0.244092	-0.218403	-0.328692	-0.131856	-0.256002	-0.031531	-0.059864	0.053217	-0.215599	-0.123155	-0.261471	-0.192744	-0.211432	-0.284825	-0.327542	-0.027926	-0.111256	-0.177962	-0.286095	-0.069420	0.153473	0.064738	-0.077999	0.040939	-0.011399	0.215901	-0.043466	0.106780	0.026316	0.236878	0.165936
AT1G02790.1	GMM:10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	NaN	NaN	NaN	NaN	NaN	NaN	0.036841	NaN	-0.052403	0.076107	0.289827	0.181843	-0.147677	-0.237395	NaN	0.103620	0.001260	0.081328	-0.071711	NaN	NaN	NaN	0.483739	NaN	0.333354	0.261248	NaN	0.224293	0.101393	NaN	0.389967	0.530236	0.306668	NaN	0.042837	0.060948	-0.052452	NaN	NaN	-0.027721	-0.034381	0.039401	0.312247	0.118005	NaN
AT1G02920.1	GMM:26.9	misc.glutathione S transferases	-0.048110	0.310923	-0.025371	-0.946847	-0.578956	NaN	NaN	0.321267	NaN	-0.427978	NaN	-0.559607	-1.294794	-0.575831	NaN	NaN	NaN	-0.342060	-0.177838	-0.337622	-0.177990	-0.492096	-0.552057	-1.102675	-0.676537	-0.529175	-0.344196	-0.449712	-0.647651	-0.533852	-10.671587	-0.657423	NaN	0.745276	NaN	NaN	NaN	NaN	-0.141895	0.489915	0.797163	0.734526	NaN	NaN	1.059672
AT1G02930.1	GMM:26.9	misc.glutathione S transferases	NaN	NaN	-0.234599	NaN	-0.877141	-1.150893	-0.970625	NaN	NaN	-10.448727	-0.310497	-0.560008	NaN	NaN	-1.150893	-1.002976	-0.644195	NaN	-0.126059	-0.120527	-0.359444	NaN	-0.349632	NaN	NaN	-10.183322	NaN	-0.608303	-0.291464	-0.305462	NaN	NaN	0.133007	NaN	0.885253	NaN	-8.328976	0.267320	-0.133607	NaN	NaN	NaN	0.933450	NaN	0.994700
