Protein	MapManNumer	Description	NA_1_1	NA_1_2	NA_1_3	NA_2_1	NA_2_2	NA_2_3	NA_3_1	NA_3_2	NA_3_3	CA_1_1	CA_1_2	CA_1_3	CA_2_1	CA_2_2	CA_2_3	CA_3_1	CA_3_2	CA_3_3	DA6_1_1	DA6_1_2	DA6_1_3	DA6_2_1	DA6_2_2	DA6_2_3	DA6_3_1	DA6_3_2	DA6_3_3	DA12_1_1	DA12_1_2	DA12_1_3	DA12_2_1	DA12_2_2	DA12_2_3	DA12_3_1	DA12_3_2	DA12_3_3	DA24_1_1	DA24_1_2	DA24_1_3	DA24_2_1	DA24_2_2	DA24_2_3	DA24_3_1	DA24_3_2	DA24_3_3
AT1G01050.1	GMM:23.4.99	nucleotide metabolism.phosphotransfer and pyrophosphatases.misc	NaN	-0.189325	0.106734	NaN	-0.048825	0.235823	-0.503914	0.239155	0.120888	NaN	0.051403	-0.121348	-0.266335	0.192607	0.328115	0.359580	0.216804	0.118986	NaN	-0.230136	-0.164409	-0.046075	-0.165750	-0.054431	0.240733	0.130521	0.104950	-0.202148	-0.142136	-0.116061	0.855358	-0.131785	-0.349937	0.338197	-0.082531	0.117391	0.065973	0.253661	0.259927	0.041555	-0.199949	0.278227	0.444361	0.144636	0.631720
AT1G01090.1	GMM:8.1.1.1	TCA / organic transformation.TCA.pyruvate DH.E1	0.025579	0.256637	0.240033	0.283550	-0.118331	0.324715	-0.213147	0.073605	-0.109505	0.288364	0.020288	-0.020559	0.219260	-0.226989	0.305406	0.020415	0.151870	NaN	-0.092262	0.081360	-0.122807	-0.349015	-0.107190	0.110065	0.056120	0.054666	-4.052614	-0.016355	0.046378	0.167330	-0.341167	-0.043584	-0.097191	0.102041	-0.140776	0.082823	-0.226751	-0.311585	-0.318375	0.274425	-0.304478	0.061989	0.101234	-0.466655	-0.111335
AT1G01100.1	GMM:29.2.1.2.2.81	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.P1	-3.592961	0.312880	0.092046	0.042959	-6.211290	0.147302	0.002586	-0.122779	0.067408	0.315378	0.183382	0.009026	-0.076897	-0.126875	0.239594	0.032580	0.350041	0.146409	-0.126693	-0.048551	-0.022804	0.041856	0.109773	-0.021840	0.087342	-0.071827	0.064453	0.052498	0.327842	0.052436	-0.193486	0.224669	-0.070966	0.023103	0.078691	0.111907	-0.068198	0.033329	-0.016246	0.021859	0.007977	-0.081704	-6.273701	0.018618	0.031091
AT1G01320.1	GMM:35.1.27	not assigned.no ontology.tetratricopeptide repeat (TPR)	0.004901	-0.155588	-0.762422	-0.288635	-1.385000	-1.405036	-0.699830	-0.374795	-0.385388	-0.056447	-1.655648	-0.748188	-0.159715	-1.534541	-1.312744	-0.364902	-0.716680	-5.683839	-0.497291	-0.143783	-4.712727	-0.404442	-0.977208	-1.008705	-0.640803	-1.686772	-0.209328	-0.044746	-0.604723	-1.137944	0.121888	-1.318462	-0.137343	-0.968852	-1.653759	0.088744	-0.295010	-1.635388	-0.531672	-0.222878	-1.972980	-1.218991	-0.935012	-1.276331	-0.013372
AT1G01530.1	GMM:27.3.24	RNA.regulation of transcription.MADS box transcription factor family	NaN	-9.554675	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-9.775778	-9.658407	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-10.233413	NaN	NaN
AT1G01620.1	GMM:34.19.1	transport.major intrinsic proteins.PIP	-9.861680	NaN	0.209297	NaN	NaN	-9.602790	NaN	NaN	0.042180	NaN	NaN	NaN	NaN	NaN	-0.179494	NaN	NaN	-0.267392	NaN	NaN	-0.134585	NaN	-9.411564	-9.987496	NaN	NaN	NaN	NaN	NaN	-9.362212	NaN	-7.685673	-0.124477	NaN	0.656004	-0.723173	NaN	NaN	NaN	NaN	-2.833095	-0.301266	-8.134226	NaN	-0.272125
AT1G01800.1	GMM:26.22	misc.short chain dehydrogenase/reductase (SDR)	0.367180	0.197506	0.655983	-10.453077	-0.135241	0.672455	-0.076020	NaN	0.359223	NaN	-10.708292	0.631242	NaN	0.096073	-0.115831	-0.130014	-0.108440	0.095547	-0.027563	-0.041458	0.163757	-0.827608	0.718491	-0.311963	NaN	0.384405	0.140836	-0.337852	0.196198	0.927029	NaN	0.117515	0.001758	-0.301350	-10.096741	-0.444037	0.435931	0.245985	-0.029841	-10.889170	-0.240175	-0.158587	-10.887893	0.608474	0.358724
AT1G01950.1	GMM:31.1	cell.organisation	NaN	-8.938495	-11.117970	NaN	-11.174814	-10.926230	NaN	-9.071970	-8.688939	NaN	-11.086450	-10.923330	NaN	-10.731860	-8.816415	NaN	-11.183912	-11.297071	NaN	-8.648868	-11.087164	-8.330948	-11.361510	-10.866145	-11.092727	-8.893323	-11.057070	NaN	-11.188027	-9.503975	NaN	-11.305692	-11.292590	NaN	-10.799413	-11.385404	-9.053366	-8.807164	-11.389422	-9.658556	-11.368911	-11.173364	NaN	-9.127266	-9.081364
AT1G01990.1			-4.662941	-4.780174	1.375182	-12.059771	0.041559	-5.863665	1.245053	-4.490519	-11.921290	-4.577153	0.193470	0.255530	-12.075433	-12.007094	-4.261655	-11.672463	-11.686579	-11.947572	-12.079475	-0.098410	1.528210	-12.382239	0.385893	0.210356	-4.705653	0.085856	-12.138535	NaN	1.920470	-0.351666	-9.148035	1.372639	-12.207202	1.358849	0.226014	0.014336	-3.136983	-12.161920	-12.250953	1.251762	-12.617391	0.018196	3.041371	NaN	-12.126553
AT1G02475.1			-9.244623	NaN	NaN	-9.586317	-9.715373	NaN	-8.928978	-9.432318	-8.746125	-8.919723	NaN	NaN	NaN	-8.425576	-8.773772	NaN	NaN	NaN	NaN	-9.437380	NaN	-9.416066	-8.237105	NaN	NaN	NaN	-9.001295	NaN	-9.017092	-9.313329	NaN	-8.962147	-9.233719	-9.401087	-8.652708	NaN	NaN	-9.002540	-9.736793	NaN	NaN	NaN	NaN	NaN	-9.680555
